"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2015","4.4121","4.0591","4.7840","4.0566","","8.76%"
"08/01/2015","4.0569","3.7540","4.1882","3.7445","","7.95%"
"07/01/2015","3.7580","3.4569","3.7984","3.4027","","8.80%"
"06/01/2015","3.4541","3.4934","3.5680","3.4295","","-1.10%"
"05/01/2015","3.4925","3.3834","3.5072","3.3129","","3.26%"
"04/01/2015","3.3823","3.4309","3.4463","3.1508","","-1.33%"
"03/01/2015","3.4279","3.1763","3.5664","3.1681","","7.91%"
"02/01/2015","3.1766","3.0270","3.2862","3.0201","","4.97%"
"01/01/2015","3.0262","3.2152","3.2584","2.8633","","-5.85%"
"12/01/2014","3.2142","3.1951","3.4588","3.1377","","0.65%"
"11/01/2014","3.1935","3.1023","3.2740","3.0666","","2.91%"
"10/01/2014","3.1033","3.0898","3.2434","2.9801","","0.49%"
"09/01/2014","3.0882","2.9378","3.1480","2.8907","","5.19%"
"08/01/2014","2.9357","3.0315","3.0932","2.9349","","-3.12%"
"07/01/2014","3.0302","3.0319","3.0593","2.9720","","-0.02%"
"06/01/2014","3.0308","3.0563","3.1196","2.9778","","-0.75%"
"05/01/2014","3.0538","3.0965","3.1294","3.0050","","-1.33%"
"04/01/2014","3.0949","3.1281","3.1504","3.0245","","-1.03%"
"03/01/2014","3.1270","3.2236","3.3010","3.0924","","-3.10%"
"02/01/2014","3.2270","3.2555","3.3286","3.1772","","-0.80%"
"01/01/2014","3.2529","3.2469","3.3466","3.1565","","0.20%"
"12/01/2013","3.2463","3.1751","3.2743","3.1581","","2.29%"
"11/01/2013","3.1737","3.0427","3.1868","3.0182","","4.36%"
"10/01/2013","3.0410","2.9976","3.0511","2.9044","","1.47%"
"09/01/2013","2.9968","3.1532","3.1674","2.9480","","-4.99%"
"08/01/2013","3.1541","3.0292","3.2797","3.0006","","4.18%"
"07/01/2013","3.0276","2.9040","3.0565","2.8810","","4.30%"
"06/01/2013","2.9027","2.7545","3.0059","2.7230","","4.28%"
"05/01/2013","2.7835","2.6358","2.7932","2.5933","","5.66%"
"04/01/2013","2.6345","2.5933","2.6455","2.5701","","1.57%"
"03/01/2013","2.5937","2.5869","2.6249","2.5243","","0.28%"
"02/01/2013","2.5864","2.7031","2.7229","2.5791","","-4.31%"
"01/01/2013","2.7029","2.7020","2.7387","2.6410","","0.05%"
"12/01/2012","2.7015","2.7726","2.7884","2.6720","","-2.71%"
"11/01/2012","2.7768","2.6317","2.7792","2.5868","","5.52%"
"10/01/2012","2.6315","2.6066","2.6721","2.5977","","0.94%"
"09/01/2012","2.6070","2.5545","2.6727","2.5482","","2.13%"
"08/01/2012","2.5527","2.5288","2.5851","2.4700","","0.95%"
"07/01/2012","2.5288","2.5464","2.5533","2.4448","","-0.57%"
"06/01/2012","2.5432","2.4999","2.6228","2.4896","","1.77%"
"05/01/2012","2.4989","2.5216","2.6674","2.4741","","-1.08%"
"04/01/2012","2.5262","2.4540","2.5312","2.3726","","3.70%"
"03/01/2012","2.4360","2.2854","2.4430","2.2678","","6.49%"
"02/01/2012","2.2875","2.2879","2.3045","2.2360","","0.18%"
"01/01/2012","2.2833","2.4100","2.4437","2.2535","","-5.28%"
"12/01/2011","2.4105","2.4293","2.4511","2.3809","","-0.78%"
"11/01/2011","2.4295","2.3785","2.5405","2.3474","","2.13%"
"10/01/2011","2.3788","2.5052","2.5381","2.3372","","-5.39%"
"09/01/2011","2.5142","2.2838","2.6158","2.2584","","10.07%"
"08/01/2011","2.2841","2.2229","2.3572","2.2067","","2.47%"
"07/01/2011","2.2291","2.2639","2.2733","2.1825","","-1.60%"
"06/01/2011","2.2654","2.2731","2.3261","2.2480","","-0.37%"
"05/01/2011","2.2737","2.3357","2.4076","2.2636","","-2.55%"
"04/01/2011","2.3331","2.3115","2.3640","2.2516","","0.96%"
"03/01/2011","2.3110","2.2960","2.3772","2.2829","","0.68%"
"02/01/2011","2.2955","2.2815","2.3171","2.2342","","0.61%"
"01/01/2011","2.2816","2.2143","2.3083","2.1660","","2.80%"
"12/01/2010","2.2195","2.2261","2.2871","2.2004","","-0.26%"
"11/01/2010","2.2252","2.3743","2.4106","2.2254","","-6.19%"
"10/01/2010","2.3720","2.2993","2.4022","2.2952","","3.10%"
"09/01/2010","2.3007","2.2272","2.3299","2.1750","","3.33%"
"08/01/2010","2.2266","2.2893","2.3426","2.2205","","-2.71%"
"07/01/2010","2.2886","2.2090","2.3363","2.2016","","3.68%"
"06/01/2010","2.2074","2.2395","2.2684","2.1639","","-1.44%"
"05/01/2010","2.2397","2.3199","2.4051","2.1940","","-3.07%"
"04/01/2010","2.3106","2.4093","2.4186","2.2860","","-4.13%"
"03/01/2010","2.4101","2.4607","2.4665","2.3699","","-2.11%"
"02/01/2010","2.4620","2.5903","2.6396","2.4269","","-5.80%"
"01/01/2010","2.6137","2.4967","2.6307","2.4714","","4.72%"
"12/01/2009","2.4958","2.6343","2.6483","2.4832","","-5.28%"
"11/01/2009","2.6349","2.5947","2.6374","2.5393","","1.52%"
"10/01/2009","2.5955","2.5939","2.6374","2.5293","","0.11%"
"09/01/2009","2.5926","2.6930","2.7304","2.5736","","-3.78%"
"08/01/2009","2.6944","2.6617","2.7182","2.5737","","1.38%"
"07/01/2009","2.6576","2.7403","2.8194","2.6340","","-3.02%"
"06/01/2009","2.7405","2.7843","2.8408","2.6632","","-1.79%"
"05/01/2009","2.7905","2.8966","2.9190","2.7701","","-3.65%"
"04/01/2009","2.8963","3.0700","3.0774","2.8300","","-5.64%"
"03/01/2009","3.0694","3.0191","3.1099","2.9337","","1.30%"
"02/01/2009","3.0301","2.9615","3.0915","2.8434","","2.12%"
"01/01/2009","2.9672","3.2317","3.2811","2.8822","","-8.30%"
"12/01/2008","3.2357","2.9291","3.4838","2.9059","","10.66%"
"11/01/2008","2.9240","2.7593","3.1428","2.7079","","6.11%"
"10/01/2008","2.7557","2.6927","3.3620","2.6572","","2.40%"
"09/01/2008","2.6910","2.3948","2.9096","2.3790","","12.50%"
"08/01/2008","2.3919","2.4426","2.4521","2.3754","","-2.15%"
"07/01/2008","2.4444","2.5265","2.5623","2.4224","","-3.27%"
"06/01/2008","2.5271","2.5297","2.5884","2.4784","","-0.11%"
"05/01/2008","2.5298","2.5942","2.6364","2.5232","","-2.58%"
"04/01/2008","2.5967","2.7665","2.7723","2.5924","","-6.26%"
"03/01/2008","2.7702","2.5679","2.7860","2.5292","","7.87%"
"02/01/2008","2.5682","2.6127","2.6302","2.5055","","-1.79%"
"01/01/2008","2.6151","2.5943","2.6747","2.5602","","0.70%"
"12/01/2007","2.5968","2.6304","2.7050","2.5519","","-1.31%"
"11/01/2007","2.6312","2.5131","2.7831","2.4925","","4.61%"
"10/01/2007","2.5152","2.6154","2.6233","2.5036","","-3.84%"
"09/01/2007","2.6157","2.6770","2.7181","2.5911","","-2.49%"
"08/01/2007","2.6825","2.5723","2.8678","2.5481","","4.23%"
"07/01/2007","2.5736","2.6106","2.6596","2.5326","","-1.47%"
"06/01/2007","2.6121","2.5821","2.6658","2.5418","","1.10%"
"05/01/2007","2.5838","2.7748","2.7823","2.5771","","-6.95%"
"04/01/2007","2.7769","2.7507","2.7856","2.6951","","0.97%"
"03/01/2007","2.7503","2.8019","2.8384","2.6907","","-2.00%"
"02/01/2007","2.8064","2.7654","2.8483","2.6817","","1.36%"
"01/01/2007","2.7688","2.8173","2.8553","2.7422","","-1.82%"
"12/01/2006","2.8202","2.8654","2.9011","2.7963","","-1.62%"
"11/01/2006","2.8666","2.7332","2.8965","2.7093","","4.84%"
"10/01/2006","2.7343","2.7499","2.7754","2.6558","","-0.76%"
"09/01/2006","2.7553","2.7423","2.8571","2.7088","","0.40%"
"08/01/2006","2.7442","2.7768","2.8228","2.7192","","-1.28%"
"07/01/2006","2.7797","2.7676","2.8260","2.7192","","0.35%"
"06/01/2006","2.7699","2.9519","2.9738","2.7382","","-6.19%"
"05/01/2006","2.9527","2.6329","3.0736","2.5940","","11.96%"
"04/01/2006","2.6373","2.6229","2.6665","2.5680","","0.57%"
"03/01/2006","2.6223","2.5292","2.7059","2.5072","","3.59%"
"02/01/2006","2.5313","2.6868","2.7093","2.4931","","-5.85%"
"01/01/2006","2.6887","2.7677","2.8381","2.6549","","-2.90%"
"12/01/2005","2.7691","2.5955","2.8819","2.5261","","6.59%"
"11/01/2005","2.5980","2.7006","2.7161","2.5177","","-3.75%"
"10/01/2005","2.6991","2.6765","2.8066","2.6483","","0.70%"
"09/01/2005","2.6803","2.9044","2.9743","2.6541","","-7.82%"
"08/01/2005","2.9078","2.8850","3.0227","2.7951","","0.73%"
"07/01/2005","2.8868","2.8251","3.0155","2.7787","","2.09%"
"06/01/2005","2.8277","2.9456","3.0640","2.8179","","-4.65%"
"05/01/2005","2.9657","3.2500","3.3081","2.9133","","-8.88%"
"04/01/2005","3.2546","3.4717","3.4793","3.2327","","-6.33%"
"03/01/2005","3.4744","3.4345","3.7271","3.4104","","1.33%"
"02/01/2005","3.4289","3.3990","3.4953","3.3095","","0.86%"
"01/01/2005","3.3998","3.5962","3.6169","3.3948","","-5.60%"
"12/01/2004","3.6013","3.6114","3.7115","3.5692","","-0.39%"
"11/01/2004","3.6155","3.6604","3.6784","3.5680","","-1.09%"
"10/01/2004","3.6555","3.5528","3.7043","3.4523","","2.81%"
"09/01/2004","3.5555","3.5636","3.5899","3.4624","","-0.33%"
"08/01/2004","3.5671","3.6626","3.7475","3.5353","","-2.28%"
"07/01/2004","3.6503","3.7569","3.8189","3.6306","","-2.92%"
"06/01/2004","3.7600","3.8843","3.9113","3.7058","","-3.24%"
"05/01/2004","3.8861","3.5163","3.9052","3.5011","","10.58%"
"04/01/2004","3.5143","3.5646","3.5844","3.4207","","-1.42%"
"03/01/2004","3.5650","3.6272","3.6446","3.4709","","-1.66%"
"02/01/2004","3.6250","3.6587","3.8164","3.6073","","-0.94%"
"01/01/2004","3.6593","3.6391","3.6812","3.4806","","0.53%"
"12/01/2003","3.6399","3.5263","3.6701","3.4853","","3.01%"
"11/01/2003","3.5337","3.3183","3.5444","3.2481","","6.42%"
"10/01/2003","3.3205","3.3706","3.4125","3.2701","","-1.55%"
"09/01/2003","3.3727","3.2699","3.4375","3.1754","","3.13%"
"08/01/2003","3.2704","3.3288","3.4973","3.1866","","-1.87%"
"07/01/2003","3.3328","3.2668","3.3917","3.1639","","2.06%"
"06/01/2003","3.2655","3.4793","3.5207","3.2447","","-6.84%"
"05/01/2003","3.5051","3.2523","3.6522","3.2373","","7.65%"
"04/01/2003","3.2561","3.6724","3.6774","3.1845","","-11.42%"
"03/01/2003","3.6757","3.8445","3.9558","3.5439","","-4.65%"
"02/01/2003","3.8550","3.7884","3.9933","3.6991","","2.16%"
"01/01/2003","3.7734","3.7082","4.0099","3.3699","","1.52%"
"12/01/2002","3.7168","3.6268","3.8840","3.4870","","2.30%"
"11/01/2002","3.6331","3.5860","3.7581","3.4699","","0.47%"
"10/01/2002","3.6160","3.7047","3.9595","3.4560","","-2.55%"
"09/01/2002","3.7106","2.9468","3.9095","2.9408","","25.63%"
"08/01/2002","2.9535","3.3581","3.3723","2.7560","","-12.70%"
"07/01/2002","3.3832","2.7899","3.5591","2.7496","","21.08%"
"06/01/2002","2.7941","2.3471","2.8594","2.3383","","18.79%"
"05/01/2002","2.3521","2.1242","2.3774","2.1209","","10.66%"
"04/01/2002","2.1255","2.0240","2.1473","1.9818","","4.86%"
"03/01/2002","2.0269","2.0534","2.1143","2.0048","","-1.32%"
"02/01/2002","2.0541","2.0709","2.1856","2.0151","","-0.85%"
"01/01/2002","2.0717","2.0541","2.1900","2.0374","","0.59%"
"12/01/2001","2.0595","2.2336","2.2379","1.9974","","-7.93%"
"11/01/2001","2.2369","2.4268","2.5164","2.1487","","-7.78%"
"10/01/2001","2.4257","2.4297","2.5873","2.3894","","-0.35%"
"09/01/2001","2.4341","2.3321","2.6059","2.2592","","4.04%"
"08/01/2001","2.3396","2.1657","2.3676","2.1339","","7.97%"
"07/01/2001","2.1669","1.9644","2.2322","1.9483","","10.34%"
"06/01/2001","1.9639","2.0110","2.1326","1.9302","","-2.50%"
"05/01/2001","2.0142","1.9554","2.0721","1.9470","","3.05%"
"04/01/2001","1.9546","1.8813","2.0793","1.8787","","3.39%"
"03/01/2001","1.8906","1.8899","1.9567","1.8598","","0.06%"
"02/01/2001","1.8894","1.8459","1.8921","1.7875","","2.37%"
"01/01/2001","1.8456","1.8365","1.8765","1.7863","","0.43%"
"12/01/2000","1.8377","1.7261","1.8382","1.7066","","6.42%"
"11/01/2000","1.7269","1.6111","1.7305","1.6055","","7.06%"
"10/01/2000","1.6130","1.6292","1.6338","1.5602","","-1.00%"
"09/01/2000","1.6293","1.6197","1.6729","1.5540","","0.52%"
"08/01/2000","1.6208","1.6516","1.6631","1.5959","","-1.89%"
"07/01/2000","1.6520","1.7197","1.7305","1.6335","","-4.03%"
"06/01/2000","1.7213","1.7080","1.7497","1.6856","","0.61%"
"05/01/2000","1.7109","1.6449","1.7290","1.6013","","3.92%"
"04/01/2000","1.6463","1.6567","1.7275","1.6285","","-0.73%"
"03/01/2000","1.6584","1.7039","1.7266","1.6479","","-2.75%"
"02/01/2000","1.7053","1.7297","1.8032","1.6648","","-1.42%"
